name,price,rating,category,number of reviews,type,Distance from Downtown
unito light SHIMBASHI,US$116,6.5,Review score,584 reviews,Single Bed in Mixed Dormitory Room,3.3 km from downtown
Smile Hotel Nihombashi Mitsukoshimae,US$533,7.9,Good,"1,807 reviews",Single Room - Non-Smoking,4.2 km from downtown
Tokyu Stay Aoyama Premier,US$930,7.9,Good,"1,750 reviews",Moderate Room - Non-Smoking,2.2 km from downtown
APA Hotel Akihabara Ekikita,US$587,8.3,Very Good,"4,295 reviews",Standard Single Room - Non-Smoking,4.6 km from downtown
Akasaka Granbell Hotel,US$503,7.8,Good,595 reviews,Single Room - Smoking,1.3 km from downtown
APA Hotel Akihabara Ekihigashi,US$570,8.5,Very Good,"2,192 reviews",Standard Single Room,4.5 km from downtown
THE BLOSSOM HIBIYA,"US$1,551",9.0,Wonderful,"5,930 reviews",Superior Double Room,3.1 km from downtown
Keio Presso Inn Shinjuku,US$519,7.8,Good,963 reviews,Single Room - Non-Smoking,3.3 km from downtown
Tokyu Stay Ikebukuro,US$637,8.4,Very Good,"1,149 reviews",Standard Single Room - Non Smoking,5.5 km from downtown
Anshin Oyado woman Tokyo Ginza Shiodome,US$264,8.7,Excellent,"1,514 reviews",Single Bed in Female Dormitory Room,3.6 km from downtown
Hotel Coco Grand Kitasenju,US$494,8.5,Very Good,"1,291 reviews",Economy Single Room,9.8 km from downtown
APA Hotel Ikebukuro Eki Kitaguchi,US$529,7.4,Good,"1,878 reviews",Single Room - Non-Smoking,5.6 km from downtown
Ueno正和ビル,US$474,7.6,Good,595 reviews,Standard Twin Room,6 km from downtown
Toyoko Inn Tokyo Haneda Airport No.1,US$403,7.9,Good,"2,237 reviews",Single Room - Non-Smoking,14.9 km from downtown
Softlight Inn Asakusa Tokyo,US$430,8.0,Very Good,223 reviews,Single Room,7.2 km from downtown
Tobu Hotel Levant Tokyo,US$820,8.7,Excellent,"5,859 reviews",Standard Single Room - Non-Smoking,7.4 km from downtown
TOKYO-W-INN Asakusa,US$154,8.2,Very Good,"1,336 reviews",Bunk Bed in Female Dormitory Room,6.2 km from downtown
HOTEL MYSTAYS Ochanomizu Conference Center,US$602,8.4,Very Good,"1,374 reviews",【Renewal】Standard Semi Double (One bed) - Non-Smoking,3.7 km from downtown
Hotel Edoya,US$662,8.2,Very Good,"1,246 reviews",Standard Twin Room,4 km from downtown
ART HOTELS SHIBUYA,US$662,8.6,Excellent,"1,115 reviews",Standard Single Room,4.1 km from downtown
Hotel Tateshina,US$462,7.1,Good,398 reviews,Single Room B - Smoking,2 km from downtown
Richmond Hotel Premier Asakusa International,US$903,8.7,Excellent,"3,069 reviews",Standard Single Room - Non-Smoking,6.6 km from downtown
Hotel Kazusaya,US$510,8.8,Excellent,"1,546 reviews",Single Room with Bath,4.1 km from downtown
HOTEL AMANEK Asakusa Ekimae,US$457,7.8,Good,"2,607 reviews",Standard Double Room,6.5 km from downtown
HOTEL MYSTAYS Kiyosumi Shirakawa,US$542,8.3,Very Good,"1,077 reviews",Standard Double Room with Small Double Bed - Non-Smoking - House Keeping is Optional with Additional Cost,6 km from downtown
Nagomi Hotel Nippori,US$395,8.1,Very Good,372 reviews,Economy Japanese-Style Twin Room,6.8 km from downtown
Hotel Mystays Gotanda Station,US$515,7.5,Good,"2,746 reviews",Single Room with Shower - Smoking,6.6 km from downtown
APA Hotel Shinagawa Togoshi Ekimae,US$464,7.9,Good,"1,139 reviews",Standard Single Room (Non Smoking),7.9 km from downtown
HOTEL AMANEK Ginza East,US$443,8.0,Very Good,764 reviews,Single Room - Non-Smoking,4.3 km from downtown
Chang Tee Hotel Ikebukuro,US$382,7.5,Good,654 reviews,Double Room - Non-Smoking,5.7 km from downtown
Hotel Meigetsu,US$244,8.6,Excellent,"1,050 reviews",Double Room with Small Double Bed with Shared Bathroom,8.5 km from downtown
YOTEL Tokyo Ginza,US$830,8.6,Excellent,308 reviews,Queen Room,3.6 km from downtown
Hotel Gracery Ginza,US$764,7.8,Good,"1,524 reviews",Standard Single Room - Non-Smoking,3.6 km from downtown
Best Western Hotel Fino Tokyo Akihabara,US$591,8.2,Very Good,"3,292 reviews",Double Room,4.6 km from downtown
Odakyu Hotel Century Southern Tower,"US$1,193",8.8,Excellent,"1,803 reviews",Comfort Double Room - Non-Smoking,2.6 km from downtown
HOTEL LiVEMAX Asakusabashi-Eki Kitaguchi,US$411,7.6,Good,184 reviews,Double Room with Small Double Bed - Non-Smoking - Small Dog Friendly,5.4 km from downtown
FL Hotel Asakusa,US$416,8.4,Very Good,"1,287 reviews",Small Double Room,6 km from downtown
Hotel East 21 Tokyo,US$571,8.6,Excellent,"2,366 reviews",Standard Single Room - Non-Smoking (1 adult),7.8 km from downtown
Hotel RIO新宿,US$593,7.6,Good,225 reviews,Queen Room,2.8 km from downtown
Grand Nikko Tokyo Daiba,"US$1,227",9.0,Wonderful,"5,261 reviews",Superior Double Room - Non-Smoking,7.7 km from downtown
Asakusa Kokono Club Hotel,US$635,8.9,Excellent,"1,815 reviews",Economy Double Room,6.7 km from downtown
Hotel Villa Fontaine Tokyo-Nihombashi Mitsukoshimae,US$538,7.7,Good,771 reviews,Room Selected at Check-In,4.3 km from downtown
APA Hotel Asakusabashi Ekikita,US$451,8.2,Very Good,"2,937 reviews",Single Room - Non-Smoking,5.5 km from downtown
Tabist Ginza,US$518,7.6,Good,"1,729 reviews",Small Double Room,4 km from downtown
Hotel Wing International Korakuen,US$477,7.6,Good,"1,463 reviews",Small Double Room - Smoking,3.2 km from downtown
Super Hotel Ueno-Okachimachi,US$550,8.5,Very Good,"1,917 reviews",Standard Double Room - Non-Smoking,4.8 km from downtown
HOTEL MYSTAYS Nishi Shinjuku,US$627,8.0,Very Good,"1,868 reviews",Standard Single Room - Non-Smoking,3.1 km from downtown
Hotel Keihan Tsukiji Ginza Grande,"US$1,087",8.5,Very Good,"2,364 reviews",Casual Double Room - Non Smoking,4.5 km from downtown
THE KNOT TOKYO Shinjuku,US$855,8.3,Very Good,"10,178 reviews",17sqm Superior Hollywood Room - Non-Smoking,3.7 km from downtown
Keio Presso Inn Akasaka,US$562,8.4,Very Good,"1,025 reviews",Single Room - Non-Smoking,1.7 km from downtown
Shinjuku Washington Hotel Annex,US$863,7.8,Good,"1,331 reviews",Standard Double Room - Non-Smoking,3.3 km from downtown
Comfort Hotel Tokyo Kiyosumi Shirakawa,US$681,8.4,Very Good,"1,627 reviews",Double Room - Non-Smoking,6.3 km from downtown
Kanda Station Hotel,US$497,6.8,Review score,"1,747 reviews",Single Room - Non-Smoking,3.7 km from downtown
Tokyu Stay Tsukiji - Tokyo Ginza Area,US$687,8.4,Very Good,788 reviews,Moderate Single Room 15㎡ - Non-Smoking (1 adult),4.4 km from downtown
APA Hotel Akihabara Ekimae,US$602,7.5,Good,920 reviews,Single Room - Non-Smoking,4.5 km from downtown
Guest House Wagokoro,US$613,9.4,Wonderful,"2,201 reviews",Economy Double Room,6.6 km from downtown
the b ikebukuro,US$637,7.7,Good,921 reviews,Standard Single Room with Shower - Non-Smoking,5.3 km from downtown
Ueno First City Hotel,US$568,7.9,Good,941 reviews,Economy Single Room - Non-Smoking,4.3 km from downtown
HOTEL LiVEMAX Shinjuku Kabukicho,US$454,6.3,Review score,825 reviews,Double Room with Small Double Bed - Non-Smoking,2.7 km from downtown
Forest Hongo by unito,US$377,8.6,Excellent,972 reviews,Superior Double Room,4 km from downtown
APA Hotel Keikyukamata Ekimae,US$483,8.4,Very Good,"2,631 reviews",Single Room,13.7 km from downtown
Apa Hotel Ueno Okachimachi Ekimae Minami,US$520,8.3,Very Good,657 reviews,Standard Single Room,4.5 km from downtown
Shibuya Tobu Hotel,US$781,8.0,Very Good,"2,691 reviews",Budget Single Room - Non-Smoking,3.7 km from downtown
Super Hotel Premier Akihabara,US$681,8.7,Excellent,"2,206 reviews",Single Room - Non-Smoking,4.2 km from downtown
Hostel Bedgasm,US$194,8.2,Very Good,557 reviews,Bunk Bed in Female Dormitory Room,6.7 km from downtown
9h nine hours woman Kanda,US$236,7.6,Good,"1,515 reviews",Special Offer - Capsule Room for Female - Non-Smoking,3.9 km from downtown
APA Hotel AkihabaraSuehirocho Ekimae -Electric Town-,US$654,8.6,Excellent,787 reviews,Single Room,4.2 km from downtown
Tokyu Stay Kamata - Tokyo Haneda,US$445,8.1,Very Good,604 reviews,Single Room,13.9 km from downtown
La Krasse Sumida,US$401,8.4,Very Good,99 reviews,One-Bedroom Apartment Ground Floor,7.4 km from downtown
Mitsui Garden Hotel Roppongi Tokyo Premier,"US$1,262",8.4,Very Good,"4,222 reviews",Standard Double Room,2.7 km from downtown
Asakusa View Hotel,US$976,8.3,Very Good,"2,712 reviews",Standard Double Room with City Side - Smoking,6.5 km from downtown
Prince Smart Inn Ebisu,US$740,7.9,Good,"1,089 reviews",Standard Single Room with Complimentary Light Breakfast - Non-Smoking,5 km from downtown
HOTEL MYSTAYS Nippori,US$508,7.2,Good,608 reviews,Standard Double Room - Non-Smoking - House Keeping is Optional with Additional Cost,6.1 km from downtown
Super Hotel Tokyo Hamamatsucho,US$654,8.4,Very Good,"1,430 reviews",Run of House,4.1 km from downtown
Miyako City Tokyo Takanawa,US$900,8.7,Excellent,"4,217 reviews",Comfort King Room,5.9 km from downtown
LOF HOTEL Shimbashi,US$650,8.2,Very Good,"1,782 reviews",Economy Double Room,3.3 km from downtown
Hotel Grand Arc Hanzomon,US$801,8.7,Excellent,"1,782 reviews",Semi-Double Room - Non-Smoking,1.3 km from downtown
Keisei Richmond Hotel Tokyo Kinshicho,US$771,8.8,Excellent,"1,207 reviews",Standard Double Room - Smoking,7.7 km from downtown
Hotel Gracery Tokyo Tamachi,US$588,8.2,Very Good,"1,677 reviews",Standard Single Room - Non-Smoking,5.1 km from downtown
HOTEL LiVEMAX Akasaka,US$396,6.8,Review score,534 reviews,Double Room with Small Double Bed - Non-Smoking,1.8 km from downtown
Hotel Wing International Shimbashi Onarimon,US$691,8.4,Very Good,"1,766 reviews",Small Double Room - Non Smoking,3.6 km from downtown
The Royal Park Hotel Ginza 6-Chome,"US$1,195",8.6,Excellent,"1,246 reviews",Standard Double - Non-Smoking,3.8 km from downtown
APA Hotel & Resort Tokyo Bay Shiomi,US$562,7.9,Good,"2,532 reviews",Single Room - Non-Smoking,8.7 km from downtown
Solaria Nishitetsu Hotel Ginza,US$884,8.4,Very Good,"1,003 reviews",Single Room - Non-Smoking,3.8 km from downtown
HOTEL MYSTAYS Ueno Inaricho,US$507,7.7,Good,911 reviews,Standard Single Room - Non-Smoking - House Keeping is Optional with Additional Cost,5.8 km from downtown
Hotel Risveglio Akasaka,US$768,8.5,Very Good,"2,906 reviews",Double Room with Small Double Bed,1.3 km from downtown
Tokyo Ariake Bay Hotel,US$270,7.3,Good,"3,034 reviews",Female Only - Capsule - No Daily Cleaning,8.6 km from downtown
JINGHOUSE小岩 Direct to Shinjuku/airport/close to station,US$332,7.9,Good,290 reviews,Studio Apartment,15.1 km from downtown
Nishitetsu Inn Nihonbashi,US$586,8.2,Very Good,737 reviews,Single Room - Smoking,4.5 km from downtown
Onyado Nono Asakusa Natural Hot Spring,US$738,8.9,Excellent,"2,896 reviews",Standard Single Room,6.7 km from downtown
HOTEL TABARD TOKYO,US$705,8.5,Very Good,452 reviews,Double Room,8 km from downtown
Meitetsu Inn Hamamatsucho,US$634,8.5,Very Good,643 reviews,Standard Double Room A - Non-Smoking,3.9 km from downtown
WPÜ HOTEL Shinjuku,US$667,8.6,Excellent,"3,009 reviews",Single Room,3 km from downtown
City Hotel Southern Cross,US$578,6.6,Review score,402 reviews,Renovated Standard Double Room with Small Double Bed - Smoking,3.1 km from downtown
Hotel Route-Inn Tokyo Ikebukuro,US$477,7.7,Good,246 reviews,Standard Single Room - Smoking,5.2 km from downtown
Tosei Hotel Cocone Ueno Okachimachi,US$611,8.5,Very Good,"1,987 reviews",Double Room,4.6 km from downtown
Upper Hotel Ryogoku,US$163,7.3,Good,805 reviews,Bed in 4-Bed Male Dormitory Room,5.6 km from downtown
&AND HOSTEL MINAMISENJU,US$239,7.8,Good,"1,032 reviews",Bunk Bed in Male Dormitory Room,8 km from downtown
Shizutetsu Hotel Prezio Tokyo Tamachi,US$674,8.7,Excellent,"1,431 reviews",Single Room,5.1 km from downtown
APA Hotel Shinjuku Gyoemmae,US$614,7.8,Good,"5,442 reviews",Single Room - Non-Smoking,1.9 km from downtown
Agora Place Tokyo Asakusa,US$599,7.8,Good,"2,569 reviews",Standard Semi Double Room - Non-Smoking,6.1 km from downtown
Ginza Capital Hotel Akane,US$622,7.4,Good,"1,118 reviews",Double Room with Small Double Bed - Non-Smoking,4.5 km from downtown
Shiba Park Hotel,"US$1,243",8.9,Excellent,"2,742 reviews",Double Room - Non-Smoking,3.7 km from downtown
Hotel Sardonyx Tokyo,US$740,8.7,Excellent,152 reviews,Small Double Room - Non-Smoking,4.6 km from downtown
Urvest Hotel Kamata,US$369,8.0,Very Good,148 reviews,Standard Double Room,13.7 km from downtown
Super Hotel Tokyo Otsuka,US$522,8.4,Very Good,897 reviews,Double Room,5.3 km from downtown
APA Hotel Tsukiji Ekiminami,US$456,7.6,Good,940 reviews,Single Room - Non-Smoking,4.7 km from downtown
Hotel Metropolitan Tokyo Ikebukuro,"US$1,083",8.7,Excellent,"2,553 reviews",Standard Twin Room - Non-Smoking,5.1 km from downtown
ミニマリズムホテル葛飾,US$366,8.5,Very Good,221 reviews,One-Bedroom Apartment,14.4 km from downtown
Shinjuku 2 stops Higashinakano102 three people,US$589,N/A,N/A,N/A,One-Bedroom Apartment,4.4 km from downtown
Urbain Tokyo Ueno Kitasenju,US$563,8.1,Very Good,804 reviews,Double Room,10 km from downtown
Tosei Hotel Cocone Asakusa Kuramae,US$683,8.6,Excellent,"1,434 reviews",Standard Double Room,6.2 km from downtown
Hotel Metropolitan Tokyo Marunouchi,"US$1,427",8.7,Excellent,"4,827 reviews",Station Side Queen,3.5 km from downtown
The Gate Hotel Asakusa Kaminarimon by Hulic,US$686,8.9,Excellent,"3,392 reviews",Single Room - Smoking,6.6 km from downtown
Hotel Famy Inn Kinshicho,US$399,7.4,Good,497 reviews,Single Room - Smoking,7.6 km from downtown
Ginza Creston,US$983,8.3,Very Good,"1,576 reviews",Double Room - Non-Smoking,4.9 km from downtown
Bayside Hotel Azur Takeshiba,US$721,7.6,Good,542 reviews,Double Room with City View - Non-Smoking,4.6 km from downtown
Daiwa Roynet Hotel Shimbashi,US$994,8.5,Very Good,"1,115 reviews",Limited Time Offer - Standard Single Room (13㎡) - Non-Smoking,3.2 km from downtown
Cocts Akihabara,US$254,8.2,Very Good,"1,122 reviews",Bunk Bed in Mixed Dormitory Room,4.9 km from downtown
Shinjuku Granbell Hotel,US$611,7.8,Good,"2,652 reviews",Economy Single Room - Non-Smoking,2.5 km from downtown
Henn na Hotel Tokyo Hamamatsucho,US$545,7.9,Good,"2,610 reviews",Standard Single Room - Non-Smoking,4 km from downtown
9h nine hours Shinagawa station sleep lab for men,US$255,7.6,Good,450 reviews,Capsule Room for Male,6.3 km from downtown
HOTEL MYSTAYS PREMIER Omori,"US$1,002",8.1,Very Good,"4,155 reviews",Comfort Queen Room - Non-Smoking,10.6 km from downtown
HOTEL MYSTAYS Gotanda,US$624,7.4,Good,692 reviews,Double Room with Small Double Bed - Smoking,6.7 km from downtown
Wabi Sabi Hostel,US$192,7.9,Good,462 reviews,Bunk Bed in Mixed Dormitory Room,7.1 km from downtown
"男性専用サウナ&カプセル Men Only Capsule Room & Sauna, Bathhouse ミナミ下北沢 Minami Shimokitazawa",US$178,6.2,Review score,107 reviews,Single Room with Shared Bathroom,6.2 km from downtown
Lodging Tokyo Shibamata,US$272,7.5,Good,349 reviews,Standard Twin Room,15.4 km from downtown
commun SHIBUYA (Male Only),US$263,7.7,Good,"2,061 reviews",Standard Capsule Room for Male,4.4 km from downtown
TOKYOGUEST日本橋,US$352,7.0,Good,107 reviews,Standard Double or Twin Room,4.3 km from downtown
Asakusa Tobu Hotel,US$995,9.1,Wonderful,"7,939 reviews",Double Room A,6.8 km from downtown
Dormy Inn Akihabara,US$683,8.4,Very Good,"1,474 reviews",Moderate Japanese Double Room with Small Double Bed  - Non-Smoking,4.4 km from downtown
Daiwa Roynet Hotel Ginza PREMIER,"US$1,105",8.5,Very Good,"3,813 reviews",Standard Double Room - Smoking,3.8 km from downtown
Shinagawa Prince Hotel N Tower,US$885,7.9,Good,"1,192 reviews",Small Double Room with Lounge Access ＆ Complimentary Light Breakfast - Non-Smoking,6.5 km from downtown
Guest House Siesta,US$263,8.7,Excellent,"2,149 reviews",Single Bed in 10-Bed Dormitory Room,5.1 km from downtown
Tokyu Stay Monzen-Nakacho Tokyo,US$558,8.7,Excellent,268 reviews,Smart Single (No Washer & Dryer),6.5 km from downtown
Hotel Sting,US$446,7.7,Good,456 reviews,Standard King Room,6.8 km from downtown
HOTEL MYSTAYS Ueno Iriyaguchi,US$662,7.8,Good,"1,335 reviews",Economy Single Room - Smoking - House Keeping is Optional with Additional Cost,5.6 km from downtown
Ochanomizu Inn,US$497,8.3,Very Good,650 reviews,Double Room with Small Double Bed - Non-Smoking,3.7 km from downtown
Toyoko Inn Tokyo Nihombashi Mitsukoshi Mae A4,US$391,7.7,Good,598 reviews,Single Room - Smoking,4.4 km from downtown
Hearton Hotel Higashi-Shinagawa,US$521,8.2,Very Good,"2,634 reviews",Single Room - Smoking,8.6 km from downtown
東京日和,US$527,8.4,Very Good,507 reviews,Standard Double Room,6.8 km from downtown
Tokyu Stay Meguro Yutenji,US$664,8.2,Very Good,594 reviews,Double Room - Non-Smoking (1-2 people),6.6 km from downtown
ONE@Tokyo,US$730,8.6,Excellent,"4,181 reviews",Standard Semi Double - Non-Smoking,8.3 km from downtown
the b ginza,US$912,8.4,Very Good,"2,852 reviews",Double Room,3.6 km from downtown
STAY WORK ASAKUSA guest house 浅草店,US$138,7.9,Good,496 reviews,Bunk Bed in Female Dormitory Room,6.7 km from downtown
Sotetsu Fresa Inn Higashi Shinjuku,US$710,8.2,Very Good,"3,709 reviews",Single Room - Non-Smoking,2.4 km from downtown
the b shimbashi toranomon,US$570,8.2,Very Good,"1,254 reviews",Standard Double Room - Non-Smoking,3 km from downtown
Shitamachi Base,US$383,8.2,Very Good,131 reviews,Apartment with Loft [103],8.3 km from downtown
Nest Hotel Tokyo Hanzomon,US$924,8.1,Very Good,"2,476 reviews",Economy Double Room - Non-Smoking,1.2 km from downtown
HOTEL LiVEMAX Mita Ekimae,US$423,6.5,Review score,13 reviews,Small Double Room - Smoking,4.6 km from downtown
Ai Hotel Keikyu Kamata,US$525,7.8,Good,"1,248 reviews",【Credit card only】Single Room,13.7 km from downtown
GRAND HOSTEL LDK Tokyo Nishikasai -GRAND OPENING In May 2025-,US$137,N/A,N/A,N/A,Bunk Bed in Mixed Dormitory Room,11.8 km from downtown
APA Hotel Tokyo Kudanshita,US$627,7.5,Good,"2,462 reviews",Single Room - Non-Smoking,2.3 km from downtown
APA Hotel Iidabashi Ekiminami,US$642,7.8,Good,"1,627 reviews",Single Room - Non-Smoking,2.3 km from downtown
Hotel Cerezo,US$441,7.0,Good,428 reviews,Economy Double Room - Smoking,6 km from downtown
Blue Empire Hotel,US$575,6.9,Review score,259 reviews,Double Room,3.2 km from downtown
Hatoya Hotel,US$595,8.7,Excellent,870 reviews,Twin Room,5.7 km from downtown
Dormy Inn EXPRESS Asakusa,US$592,8.2,Very Good,537 reviews,Residential Economy Double Room on Station Side - Smoking - No Daily Cleaning,6.9 km from downtown
HOTEL AMANEK Shinjuku Kabukicho,US$773,8.5,Very Good,"2,587 reviews",Standard Queen Room,2.7 km from downtown
パーリーフラッツ品川高輪台 PEARLY FLATS Shinagawa Takanawadai,US$453,7.7,Good,126 reviews,Economy Twin Room,6.2 km from downtown
Richmond Hotel Tokyo Shiba,US$877,8.5,Very Good,"1,020 reviews",Standard Double Room - Non-Smoking,3.8 km from downtown
APA Hotel Kanda Ekihigashi,US$518,7.5,Good,"1,373 reviews",Single Room - Non-Smoking,4.2 km from downtown
Hotel Lumiere Kasai,US$518,8.7,Excellent,"3,806 reviews",Single Room - Non-Smoking,13.2 km from downtown
ELE Cabin Shinjuku Kabukicho,US$258,7.6,Good,"1,015 reviews",Single Bed in Male Dormitory Room,2.6 km from downtown
Mitsui Garden Hotel Ginza Tsukiji,"US$1,386",8.8,Excellent,132 reviews,Standard Queen Room,4.2 km from downtown
TenTen Guesthouse in Asakusa,US$149,8.3,Very Good,"1,181 reviews",Bunk Bed in Mixed Dormitory Room,7 km from downtown
Tokyu Stay Nihonbashi,US$571,8.5,Very Good,339 reviews,Small Double Room,4.2 km from downtown
Keio Presso Inn Ikebukuro,US$579,8.2,Very Good,"1,418 reviews",Single Room - Non-Smoking,4.8 km from downtown
Restay Frontier (Adult Only),US$498,8.7,Excellent,612 reviews,Double Room,5.2 km from downtown
Haneda Base,US$251,8.0,Very Good,5 reviews,Economy Double Room,14.1 km from downtown
